6.6705756,12,30,900,0
6.7839046,13,23,529,0
6.7623835,13,30,900,0
6.3028507,13,25,625,0
6.0433865,16,23,529,0
5.0611377,13,24,576,0
5.5719633,12,22,484,0
6.0762291,13,25,625,0
3.7840426,10,29,841,0
9.615015,12,23,529,0
6.6313548,14,20,400,0
6.1205292,13,25,625,0
6.5259943,13,29,841,0
7.1013584,16,20,400,0
8.5000753,19,16,256,0
6.8136764,13,21,441,0
6.1205292,13,24,576,0
6.8464665,13,30,900,0
7.2732091,13,29,841,0
7.324502,12,24,576,0
6.2746801,12,26,676,0
6.1337748,12,31,961,0
5.854826,13,28,784,0
7.161983,13,28,784,0
4.7987733,12,25,625,0
6.5259943,12,31,961,0
5.715064,10,27,729,0
6.0673766,18,21,441,0
6.4082112,17,20,400,0
6.8624668,18,24,576,0
6.4082112,18,24,576,0
6.5259943,13,25,625,0
6.7797751,14,21,441,0
7.1501489,11,28,784,0
6.6313548,20,15,225,0
6.1533194,13,23,529,0
5.3583894,10,28,784,1
6.1850677,13,26,676,0
8.5000753,12,26,676,1
6.3302498,13,26,676,1
5.1172271,13,24,576,0
4.3679905,13,22,484,1
7.1501489,14,29,841,0
6.1533194,13,22,484,0
6.7446837,16,22,484,0
6.200572,13,21,441,0
5.9964767,14,20,400,0
6.8136764,18,24,576,0
6.8136764,12,28,784,0
5.3934808,10,28,784,1
5.854826,13,30,900,0
6.5308137,16,23,529,0
5.715064,13,24,576,1
5.0611377,13,29,841,0
6.0797071,13,29,841,0
6.9820118,19,20,400,0
6.5479732,10,30,900,0
5.9964767,12,26,676,0
5.7832723,13,27,729,0
6.1850677,16,19,361,0
7.2411203,16,23,529,0
6.2602911,14,20,400,0
6.8136764,12,27,729,1
6.93294,18,22,484,0
6.0151687,14,28,784,0
6.2746801,12,22,484,0
6.4570017,14,24,576,1
7.7120295,13,22,484,0
6.3356409,14,29,841,0
7.7432127,16,19,361,0
6.3569183,13,25,625,0
6.6896238,18,25,625,0
5.5347404,14,20,400,0
6.6511574,13,28,784,0
6.086628,16,21,441,1
6.1205292,13,27,729,0
6.3569183,16,26,676,0
5.6637712,12,31,961,0
6.4082112,12,30,900,1
5.4071794,13,23,529,0
5.9168038,13,27,729,0
6.3828936,20,15,225,0
5.715064,14,21,441,0
6.4570017,14,22,484,0
6.1850677,13,26,676,1
6.0745921,12,22,484,0
5.427382,13,24,576,0
5.7638545,16,18,324,1
6.3248296,12,26,676,0
6.4082112,13,27,729,0
6.5479732,14,23,529,1
5.8103743,13,22,484,0
5.3583894,12,22,484,0
6.4082112,12,26,676,0
6.6134171,12,22,484,0
6.5988317,18,18,324,0
7.5868664,18,21,441,0
6.5148211,18,25,625,0
6.726665,18,18,324,0
6.7506185,13,25,625,0
6.2746801,13,22,484,0
6.9820118,14,25,625,1
6.0515366,12,28,784,1
7.0368199,13,21,441,0
4.9810948,13,25,625,1
6.5057917,12,26,676,0
5.8914862,12,31,961,1
5.8030753,12,25,625,0
7.0500655,16,21,441,0
5.3583894,13,27,729,0
6.086628,16,18,324,0
6.5758424,13,26,676,0
6.15975,12,22,484,0
5.8376665,13,21,441,1
6.5259943,16,18,324,0
6.5012465,13,24,576,0
6.8136764,18,23,529,1
6.8136764,18,24,576,0
6.4828548,13,21,441,0
4.9165564,16,20,400,0
6.6896238,18,20,400,0
6.3905563,13,22,484,0
6.0151687,12,29,841,0
5.3583894,13,23,529,0
6.5370445,14,20,400,0
6.349668,12,30,900,0
6.548408,14,20,400,0
5.6119685,12,24,576,0
5.0219169,12,29,841,0
7.324502,14,22,484,0
5.8973856,12,26,676,1
6.5259943,13,28,784,0
6.0727386,14,29,841,0
6.5259943,13,24,576,0
5.9286385,14,27,729,0
6.4082112,14,20,400,0
6.3569183,12,26,676,0
8.5000753,18,25,625,0
6.6705756,14,21,441,0
6.6313548,14,29,841,0
